股票代码,年度,股票简称,证券交易所,中小企业板标示
28,2008,一致药业,SZ,0
28,2009,一致药业,SZ,0
28,2011,一致药业,SZ,0
29,2002,深深房A,SZ,0
29,2003,深深房A,SZ,0
29,2004,深深房A,SZ,0
29,2005,G深深房,SZ,0
29,2006,深深房A,SZ,0
29,2007,深深房A,SZ,0
29,2008,深深房A,SZ,0
29,2009,深深房A,SZ,0
29,2010,深深房A,SZ,0
30,2002,ST盛润A,SZ,0
30,2004,ST盛润A,SZ,0
30,2005,*ST盛润,SZ,0
30,2006,S*ST盛润,SZ,0
30,2007,S*ST盛润,SZ,0
30,2009,*ST盛润A,SZ,0
30,2010,*ST盛润A,SZ,0
31,2002,深宝恒A,SZ,0
31,2003,深宝恒A,SZ,0
31,2004,深宝恒A,SZ,0
31,2005,G宝恒,SZ,0
31,2006,中粮地产,SZ,0
31,2007,中粮地产,SZ,0
31,2008,中粮地产,SZ,0
31,2009,中粮地产,SZ,0
31,2010,中粮地产,SZ,0
32,2002,深桑达A,SZ,0
32,2003,深桑达A,SZ,0
32,2004,深桑达A,SZ,0
32,2005,G深桑达,SZ,0
32,2006,深桑达A,SZ,0
32,2007,深桑达A,SZ,0
32,2009,深桑达A,SZ,0
32,2010,深桑达A,SZ,0
33,2003,新都酒店,SZ,0
33,2005,G新都,SZ,0
33,2006,新都酒店,SZ,0
33,2007,新都酒店,SZ,0
33,2008,新都酒店,SZ,0
33,2009,新都酒店,SZ,0
34,2002,深信泰丰,SZ,0
34,2003,深信泰丰,SZ,0
34,2004,深信泰丰,SZ,0
34,2005,*ST深泰,SZ,0
34,2006,S*ST深泰,SZ,0
34,2007,SST深泰,SZ,0
34,2008,ST深泰,SZ,0
34,2009,*ST深泰,SZ,0
34,2010,ST深泰,SZ,0
35,2002,中科健A,SZ,0
35,2003,中科健A,SZ,0
35,2004,*ST科健,SZ,0
35,2005,ST科健,SZ,0
35,2006,*ST科健,SZ,0
35,2007,ST科健,SZ,0
35,2008,ST科健,SZ,0
35,2009,*ST科健,SZ,0
35,2010,*ST科健,SZ,0
36,2003,华联控股,SZ,0
36,2004,华联控股,SZ,0
36,2005,华联控股,SZ,0
36,2006,华联控股,SZ,0
36,2007,华联控股,SZ,0
36,2008,*ST华控,SZ,0
36,2009,*ST华控,SZ,0
36,2010,华联控股,SZ,0
37,2002,深南电A,SZ,0
37,2003,深南电A,SZ,0
37,2004,深南电A,SZ,0
37,2005,G南电,SZ,0
37,2006,深南电A,SZ,0
37,2007,深南电A,SZ,0
37,2008,深南电A,SZ,0
37,2009,深南电A,SZ,0
37,2010,深南电A,SZ,0
38,2002,深大通A,SZ,0
38,2004,深大通A,SZ,0
38,2006,S*ST大通,SZ,0
38,2008,*ST大通,SZ,0
38,2009,*ST大通,SZ,0
38,2010,*ST大通,SZ,0
39,2003,中集集团,SZ,0
39,2004,中集集团,SZ,0
39,2005,中集集团,SZ,0
39,2006,中集集团,SZ,0
39,2007,中集集团,SZ,0
39,2009,中集集团,SZ,0
39,2011,中集集团,SZ,0
40,2002,ST鸿基,SZ,0
40,2003,*ST鸿基,SZ,0
40,2004,ST鸿基,SZ,0
40,2005,深鸿基,SZ,0
40,2006,深鸿基,SZ,0
40,2007,深鸿基,SZ,0
40,2008,深鸿基,SZ,0
40,2009,深鸿基,SZ,0
40,2011,深鸿基,SZ,0
42,2002,深长城A,SZ,0
42,2003,深长城A,SZ,0
42,2004,深长城A,SZ,0
42,2005,深长城A,SZ,0
42,2006,深长城,SZ,0
42,2007,深长城,SZ,0
42,2009,深长城,SZ,0
42,2011,深长城,SZ,0
43,2004,深南光A,SZ,0
43,2005,G深南光,SZ,0
43,2006,深南光A,SZ,0
43,2007,中航地产,SZ,0
43,2008,中航地产,SZ,0
43,2009,中航地产,SZ,0
43,2011,中航地产,SZ,0
45,2002,深纺织A,SZ,0
45,2003,深纺织A,SZ,0
45,2004,深纺织A,SZ,0
45,2005,深纺织A,SZ,0
45,2006,深纺织A,SZ,0
45,2007,深纺织A,SZ,0
45,2008,深纺织A,SZ,0
45,2009,深纺织A,SZ,0
45,2010,深纺织A,SZ,0
46,2002,光彩建设,SZ,0
46,2003,光彩建设,SZ,0
46,2004,光彩建设,SZ,0
46,2005,G泛海,SZ,0
46,2006,泛海建设,SZ,0
46,2009,泛海建设,SZ,0
46,2010,泛海建设,SZ,0
48,2002,ST康达尔,SZ,0
48,2003,ST康达尔,SZ,0
48,2004,ST康达尔,SZ,0
48,2005,G康达尔,SZ,0
48,2006,*ST康达,SZ,0
48,2007,*ST康达,SZ,0
48,2008,ST康达尔,SZ,0
48,2009,ST康达尔,SZ,0
48,2010,ST康达尔,SZ,0
49,2002,深万山A,SZ,0
49,2003,ST万山,SZ,0
49,2004,ST万山,SZ,0
49,2005,G德赛,SZ,0
49,2006,德赛电池,SZ,0
49,2007,德赛电池,SZ,0
49,2009,德赛电池,SZ,0
49,2010,德赛电池,SZ,0
50,2002,深天马A,SZ,0
50,2005,深天马A,SZ,0
50,2006,深天马A,SZ,0
50,2007,深天马A,SZ,0
50,2008,深天马A,SZ,0
50,2009,深天马A,SZ,0
50,2011,深天马A,SZ,0
55,2004,方大A,SZ,0
55,2005,G方大Ａ,SZ,0
55,2006,方大A,SZ,0
55,2007,方大A,SZ,0
55,2008,方大A,SZ,0
55,2009,方大集团,SZ,0
55,2011,方大集团,SZ,0
56,2005,G深国商,SZ,0
56,2006,深国商,SZ,0
56,2009,深国商,SZ,0
58,2002,深赛格,SZ,0
58,2003,深赛格,SZ,0
58,2004,深赛格,SZ,0
58,2005,深赛格,SZ,0
58,2006,﹡ST赛格,SZ,0
58,2007,﹡ST赛格,SZ,0
58,2008,ST赛格,SZ,0
58,2009,深赛格,SZ,0
58,2010,深赛格,SZ,0
59,2002,辽通化工,SZ,0
59,2003,辽通化工,SZ,0
59,2004,辽通化工,SZ,0
59,2005,G辽通,SZ,0
59,2006,辽通化工,SZ,0
59,2007,辽通化工,SZ,0
59,2009,辽通化工,SZ,0
59,2011,辽通化工,SZ,0
60,2002,中金岭南,SZ,0
60,2003,中金岭南,SZ,0
60,2004,中金岭南,SZ,0
60,2005,G中金,SZ,0
60,2006,中金岭南,SZ,0
60,2008,中金岭南,SZ,0
60,2009,中金岭南,SZ,0
60,2010,中金岭南,SZ,0
61,2002,农产品,SZ,0
61,2003,农产品,SZ,0
61,2004,农产品,SZ,0
61,2005,G农产品,SZ,0
61,2006,农产品,SZ,0
61,2007,农产品,SZ,0
61,2008,农产品,SZ,0
61,2009,农产品,SZ,0
61,2010,农产品,SZ,0
62,2002,深圳华强,SZ,0
62,2003,深圳华强,SZ,0
62,2004,深圳华强,SZ,0
62,2005,深圳华强,SZ,0
62,2006,深圳华强,SZ,0
62,2007,深圳华强,SZ,0
62,2009,深圳华强,SZ,0
62,2011,深圳华强,SZ,0
63,2002,中兴通讯,SZ,0
63,2003,中兴通讯,SZ,0
63,2004,中兴通讯,SZ,0
63,2005,G中兴,SZ,0
63,2006,中兴通讯,SZ,0
63,2008,中兴通讯,SZ,0
63,2009,中兴通讯,SZ,0
63,2011,中兴通讯,SZ,0
65,2002,北方国际,SZ,0
65,2003,北方国际,SZ,0
65,2004,北方国际,SZ,0
65,2005,G北方,SZ,0
65,2006,北方国际,SZ,0
65,2007,北方国际,SZ,0
65,2009,北方国际,SZ,0
65,2010,北方国际,SZ,0
66,2002,长城电脑,SZ,0
66,2003,长城电脑,SZ,0
66,2004,长城电脑,SZ,0
66,2005,长城电脑,SZ,0
66,2006,长城电脑,SZ,0
66,2007,长城电脑,SZ,0
66,2008,长城电脑,SZ,0
66,2009,长城电脑,SZ,0
66,2010,长城电脑,SZ,0
68,2003,赛格三星,SZ,0
68,2004,赛格三星,SZ,0
68,2005,赛格三星,SZ,0
68,2006,S三星,SZ,0
68,2007,赛格三星,SZ,0
68,2008,赛格三星,SZ,0
68,2011,ST三星,SZ,0
69,2002,华侨城A,SZ,0
69,2003,华侨城A,SZ,0
69,2004,华侨城A,SZ,0
69,2005,G华侨城,SZ,0
69,2006,华侨城A,SZ,0
69,2007,华侨城A,SZ,0
69,2008,华侨城A,SZ,0
69,2009,华侨城A,SZ,0
69,2011,华侨城A,SZ,0
70,2002,特发信息,SZ,0
70,2003,特发信息,SZ,0
70,2004,特发信息,SZ,0
70,2005,G特发,SZ,0
70,2006,特发信息,SZ,0
70,2007,特发信息,SZ,0
70,2008,特发信息,SZ,0
70,2009,特发信息,SZ,0
70,2011,特发信息,SZ,0
78,2002,海王生物,SZ,0
78,2003,海王生物,SZ,0
78,2004,海王生物,SZ,0
78,2005,G海王,SZ,0
78,2006,海王生物,SZ,0
78,2007,海王生物,SZ,0
78,2008,海王生物,SZ,0
78,2009,海王生物,SZ,0
78,2011,海王生物,SZ,0
