股票代码,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地
42,深圳市长城地产(集团)股份有限公司,"SHENZHEN CHANGCHENG INVESTMENT HOLDING CO.,LTD",J01,404030,深圳市福田区百花五路长源楼
43,深圳南光(集团)股份有限公司,SHENZHEN NAN-GUANG (GROUP) PLC.,M,404030,广东省深圳市福田区深南中路68号航空大厦32层
45,深圳市纺织(集团)股份有限公司,"SHENZHEN TEXTILE (HOLDINGS) CO.,LTD.",C11,252030,广东省深圳市福田区华强北路3号深纺大厦6楼
46,光彩建设股份有限公司,"GuangCai Construction Group Co., Ltd.",J01,404030,深圳市福田区福华一路深圳国际商会大厦A座十六楼
48,深圳市康达尔(集团)股份有限公司,"SHENZHEN KONDARL (GROUP) CO., LTD.",C01,302020,深圳市罗湖区深南东路1086号集浩大厦二、三楼
49,深圳市万山实业股份有限公司,"Shenzhen Desay Battery Technology Co., Ltd.",C76,452030,深圳市红荔西路7002号第壹世界广场A座18楼B
50,深圳天马微电子股份有限公司,"SHENZHEN TIANMA MICROELECTRONICS CO.,LTD.",C51,452030,深圳市深南中路中航苑航都大厦22层
55,方大集团股份有限公司,"FANGDA GROUP CO.,LTD.",C69,201020,深圳市高新区科技南十二路方大大厦
56,深圳市国际企业股份有限公司,"SHEN ZHEN INTERNATIONAL ENTERPRISE CO.,LTD.",H11,404030,深圳市罗湖区人民南路友谊路口发展中心大厦23 层
58,深圳赛格股份有限公司,"SHENZHEN SEG CO.,LTD.",C51,452030,深圳市福田区红荔路38号群星广场A座31楼
59,深圳辽河通达化工股份有限公司,LIAONING HUAJIN TONGDA CHEMICALS COMPANY LIMITED,C43,151010,辽宁省盘锦市双台子区红旗大街
60,深圳市中金岭南有色金属股份有限公司,SHENZHEN ZHONGJIN LINGNAN NONFEMET COMPANY LIMITED,C67,151040,深圳市福田区车公庙深南大道6013号中国有色大厦24-26楼
61,深圳市农产品股份有限公司,"SHENZHEN AGRICULTURAL PRODUCTS CO.,LTD.",H01,255010,广东省深圳市布吉路1021号天乐大厦22楼
62,深圳华强实业股份有限公司,"SHENZHEN HUAQIANG INDUSTRY CO.,LTD.",M,452030,广东省深圳市深南中路华强路口
63,深圳市中兴通讯股份有限公司,ZTE CORPORATION,G81,452010,广东省深圳市高新技术产业园科技南路中兴通讯大厦
65,北方国际合作股份有限公司,NORINCO INTERNATIONAL COOPERATION LTD.,E01,201030,广东省深圳市福田区天安数码城创新科技广场B座9层
66,中国长城计算机深圳股份有限公司,"CHINA GREAT WALL COMPUTER SHENZHEN CO.,LTD.",G83,452020,广东省深圳市南山区科技工业园长城计算机大厦
68,深圳市赛格三星股份有限公司,"SHENZHEN SEG SAMSUNG GLASS CO.,LTD.",C51,452030,广东省深圳市福田区梅林工业区101厂房
69,深圳华侨城控股股份有限公司,SHENZHEN OVERSEAS CHINESE TOWN HOLDINGS COMPANY,K34,253010,广东省深圳市南山区华侨城办公大楼
70,深圳市特发信息股份有限公司,"SHENZHEN  SDG  INFORMATION  CO.  , LTD.",C51,452010,深圳市福田区香蜜湖度假村内西座酒店后侧一号楼
78,深圳市海王生物工程股份有限公司,"SHENZHEN NEPTUNUS BIOENGINEERING CO.,LTD",C81,301010,深圳市南山南油大道海王大厦26层
88,深圳市盐田港股份有限公司,"Shenzhen Yan Tian Port Holdings Co.,Ltd",F11,203040,深圳市盐田区盐田港海港大厦十八至二十层
89,深圳市机场股份有限公司,"SHENZHEN AIRPORT CO.,LTD.",F11,203050,深圳市宝安区黄田机场第一办公楼三至四层
90,深圳市天健(集团)股份有限公司,"SHENZHEN TONGE (GROUP) CO.,LTD.",E01,201030,广东省深圳市福田区红荔西路7058号市政大厦六楼
96,深圳市广聚能源股份有限公司,"SHENZHEN GUANGJU ENERGY CO.,LTD.",H03,101020,深圳市蛇口新街蛇口大厦6楼
99,中信海洋直升机股份有限公司,CITIC OFFSHORE HELICOPTER CO.，LTD,F09,203010,深圳市福田区深南中路中信大厦
100,TCL集团股份有限公司,TCL Corporation,C5,252010,广东省惠州市仲恺高新技术开发区十九号小区
150,麦科特光电股份有限公司,"MACAT OPTICS＆ELECTRONICS CO.,LTD.",C78,252020,广东省惠州市麦地路63号麦科特中心
151,中成进出口有限公司,CHINA NATIONAL COMPLETE PLANT IMPORT＆EXPORT CO.LTD.,K,201070,中国北京市南四环西路188号二区8号楼
153,安徽丰原药业股份有限公司,"ANHUI FENGYUAN PHARMACEUTICAL CO., LTD.",C81,352020,安徽省无为县北门外大街108号
155,川化股份有限公司,SICHUAN CHEMICAL COMPANY LIMITED,C43,151010,四川省成都市青白江区大湾镇团结路311号
156,湖南安塑股份有限公司,"HUNAN GENUINE NEW MATERIAL GROUP CO.,LTD.",C49,151030,湖南省洪江市安江镇大沙坪
157,长沙中联重工科技发展股份有限公司,"Changsha Zoomlion Heavy Industry Science And TechnologyDevelopment Co., Ltd.",C73,201060,湖南省长沙市银盆南路307号
158,石家庄常山纺织股份有限公司,"SHIJIAZHUANG CHANGSHAN TEXTILE CO.,LTD",C11,252030,河北省石家庄市和平东路183号
159,新疆国际实业股份有限公司,XINJIANG INTERNATIONAL INDUSTRY CO.，LTD.,H,404030,新疆乌鲁木齐市北京路22号龙岭大厦
301,吴江丝绸股份有限公司,"WUJIANG  SILK  CO.,  LTD.",C11,252030,江苏省吴江市盛泽镇舜新中路39号
338,潍柴动力股份有限公司,"Weichai Power Co., Ltd",C75,201060,NA
400,许继电气股份有限公司,"XJ ELECTRIC CO.,LTD.",C76,201040,河南省许昌市许继大道
401,唐山冀东水泥股份有限公司,TANGSHAN  JIDONG  CEMENT  COMPANY  LIMITED,C61,151020,河北省唐山市丰润区林荫路
402,金融街控股股份有限公司,"CHONGQING HUAYA MODERN PAPERS CO.,LTD.",J01,404030,北京市西城区金融大街19号富凯大厦北座5层
403,三九宜工生化股份有限公司,SANJIU YIGONG BIOPHARMACEUTICAL & CHEMICAL INC,C4,201050,江西省宜春市环城西路1号
404,华意压缩机股份有限公司,"HUAYI COMPRESSOR CO.,LTD.",C73,201060,江西省景德镇市新厂东路28号
405,珠海鑫光集团股份有限公司,ZHUHAI SHINING METALS GROUP INC.,C67,151040,广东省珠海市吉大海洲路金苑大厦
406,中国石化胜利油田大明(集团)股份有限公司,"SINOPEC SHENGLI OIL FIELD DYNAMIC GROUP CO.,LTD",B03,101020,山东省东营市济南路228号大明大厦
407,山东胜利股份有限公司,"SHANDONG SHENGLI CO.,LTD",C49,201050,山东省济南市黑虎泉西路139号胜利大厦
408,河北华玉股份有限公司,"HEBEI HUAYU CO.,LTD.",C61,201070,河北省邯郸市峰峰矿区彭新路21号
409,四通集团高科技股份有限公司,"STONE GROUP HI-TECH CO.,LTD.",C73,255010,深圳市福田区车公庙劲松大厦13E
410,沈阳机床股份有限公司,"SHENYANG MACHINE TOOL CO.,LTD.",C71,201060,辽宁省沈阳市铁西区北二东路10-1号
411,浙江英特集团股份有限公司,"ZHEJIANG INTL GROUP CO.,LTD.",H11,301010,杭州市延安路508号
412,长春北方五环实业股份有限公司,"CHANGCHUN NORTH CHINA WUHUAN  CO.,LTD",M,NA,吉林省长春市南关区南岭大街大街38号
413,石家庄宝石电子玻璃股份有限公司,"SHIJIAZHUANG BAOSHI ELECTRONIC GLASS CO.,LTD",C5,452030,河北省石家庄市高新技术产业开发区黄河大道9号
415,新疆汇通(集团)股份有限公司,"XIN JIANG HUI TONG CO.,LTD.",E01,201030,新疆乌鲁木齐市黄河路22号汇通大厦
416,青岛健特生物投资股份有限公司,"Qingdao Jiante Biological Investment Co.,Ltd.",C03,255030,青岛市崂山区株州路151号
417,合肥百货大楼股份有限公司,HEFEI DAPARTMENT STORE GROUP CO．，LTD,H11,255030,安徽省合肥市长江中路150号综合楼
418,无锡小天鹅股份有限公司,WUXI LITTLE SWAN COMPANY LIMITED,C76,252010,江苏省无锡市国家高新技术开发区汉江路1号
419,长沙通程控股股份有限公司,"CHANGSHA TONGCHENG HOLDINGS CO.,LTD.",H11,255030,湖南省长沙市劳动西路589号
420,吉林化纤股份有限公司,"JILIN CHEMICAL FIBRE CO.,LTD.",C47,151010,吉林省吉林市昌邑区九站街516-1号
421,南京中北(集团)股份有限公司,"NANJING ZHONGBEI (GROUP) CO.,LTD.",K,203040,南京市通江路16号
422,湖北宜化化工股份有限公司,"HUBEI YIHUA CHEMICAL INDUSTRY CO., LTD",C43,151010,湖北省宜昌市猇亭大道399号
423,山东东阿阿胶股份有限公司,"SHANDONG DONG-E-EJIAO CO.,LTD.",C81,352020,山东省东阿县阿胶街78号
425,徐州工程机械科技股份有限公司,"XUGONG SCIENCE & TECHNOLOGY CO.,LTD",C73,201060,江苏省徐州经济开发区工业一区
426,赤峰富龙热力股份有限公司,"CHIFENG DADI BASIC INDUSTRY CO.,LTD.",D01,551030,内蒙古赤峰市松山区西站大街八号
428,湖南华天大酒店股份有限公司,"HUNAN HUATIAN GREAT HOTEL CO.,LTD.",K,253010,湖南省长沙市解放东路300号
429,广东省高速公路发展股份有限公司,"GUANGDONG PROVINCIAL EXPRESSWAY DEVELOPMENT CO.,LTD.",F11,203050,广东省广州市白云路85号
430,张家界旅游开发股份有限公司,"ZHANGJIAJIE TOURISM DEVELOPMENT CO.,LTD.",K34,253010,湖南省张家界市南庄坪1号花园
