股票代码,年度,年度股东大会会议的出席率,临时股东大会会议(一)的参会股东人数,临时股东大会会议(一)的出席率,临时股东大会会议(二)的参会股东人数,临时股东大会会议(二)的出席率,年度内董事会的会议次数,年度内以通讯方式召开的董事会会议次数,年度内监事会的会议次数,年度内股东大会的会议总次数
1,1998,31.83,0,0,0,0,10,0,3,1
2,1998,34.23,0,0,0,0,5,1,4,1
3,1998,18.95,0,0,0,0,2,0,2,1
4,1998,49.53,0,0,0,0,4,0,3,1
5,1998,52,0,0,0,0,3,0,2,1
6,1998,38,0,0,0,0,2,0,2,1
7,1998,45,0,0,0,0,4,0,3,1
8,1998,52,0,0,0,0,5,0,2,1
9,1998,31,0,0,0,0,6,0,3,1
10,1998,59,38,62,0,0,8,0,2,2
11,1998,71,0,0,0,0,6,0,3,1
12,1998,61,0,0,0,0,2,0,2,1
13,1998,70,0,0,0,0,3,0,2,1
14,1998,54,0,0,0,0,4,0,4,1
16,1998,64,-95,-95,0,0,4,0,1,2
17,1998,43,7,42,0,0,5,0,2,2
18,1998,72,0,0,0,0,3,0,3,1
19,1998,60,0,0,0,0,9,0,0,1
20,1998,71,0,0,0,0,4,0,3,1
21,1998,77,29,78,0,0,2,0,1,2
22,1998,61,0,0,0,0,10,0,3,1
23,1998,67,0,0,0,0,2,0,2,1
24,1998,61,14,53,0,0,3,0,1,2
25,1998,72,2,42,0,0,5,0,3,2
26,1998,54,0,0,0,0,2,0,3,1
27,1998,62,16,63,0,0,3,0,2,2
28,1998,62,14,62,0,0,5,0,3,2
29,1998,74,0,0,0,0,7,0,6,1
30,1998,75,8,74,0,0,6,0,4,2
31,1998,67,0,0,0,0,4,0,2,1
32,1998,73,0,0,0,0,3,0,1,1
33,1998,80,0,0,0,0,7,0,2,1
34,1998,72,0,0,0,0,6,0,2,1
35,1998,59,0,0,0,0,5,0,2,1
36,1998,73,46,88,0,0,6,0,2,2
37,1998,70,25,70,0,0,7,0,2,2
38,1998,79,7,79,0,0,4,0,0,2
39,1998,60,0,0,0,0,1,0,1,1
40,1998,43,18,46,0,0,8,0,3,2
42,1998,71,0,0,0,0,3,0,2,1
43,1998,71,0,0,0,0,6,3,2,1
45,1998,66,0,0,0,0,2,0,2,1
46,1998,53,36,55,0,0,5,1,3,2
47,1998,73,5,73,0,0,9,0,4,2
48,1998,74,6,74,0,0,10,0,2,2
49,1998,69,15,68,0,0,6,0,3,2
50,1998,83,0,0,0,0,4,0,3,1
55,1998,51,23,54,0,0,5,0,2,2
56,1998,62,35,63,0,0,4,0,2,2
58,1998,65,0,0,0,0,3,0,1,1
59,1998,79,0,0,0,0,5,0,1,1
60,1998,67,0,0,0,0,5,0,4,1
61,1998,62,138,64,0,0,2,0,2,2
62,1998,53,65,55,0,0,4,0,1,2
63,1998,75,45,77,0,0,3,0,2,2
65,1998,76,0,0,0,0,2,0,2,1
66,1998,64,24,64,0,0,2,0,3,2
68,1998,71,19,71,0,0,8,0,2,2
69,1998,74,28,74,0,0,3,0,2,2
78,1998,75,0,0,0,0,1,0,1,1
88,1998,79,16,79,14,79,6,0,2,3
89,1998,67,12,67,0,0,10,0,1,2
400,1998,51,25,53,26,51,6,0,2,3
401,1998,74,29,74,0,0,7,0,2,2
402,1998,62,0,0,0,0,5,0,3,1
403,1998,56,38,55,33,54,8,0,4,3
404,1998,69,11,69,0,0,6,0,0,2
405,1998,48,24,57,8,57,7,0,4,4
406,1998,34,0,0,0,0,3,0,1,1
407,1998,64,0,0,0,0,4,0,4,1
408,1998,70,0,0,0,0,3,0,3,1
409,1998,61,236,70,46,58,6,0,2,3
410,1998,71,0,0,0,0,3,0,1,1
411,1998,61,0,0,0,0,6,0,2,1
412,1998,63,0,0,0,0,10,1,2,1
413,1998,65,0,0,0,0,5,0,2,1
415,1998,63,10,64,9,63,4,1,3,3
416,1998,54,33,50,0,0,3,0,2,2
417,1998,64,0,0,0,0,2,0,2,1
418,1998,56,0,0,0,0,3,0,3,1
419,1998,68,-95,-95,0,0,4,0,2,2
420,1998,54,0,0,0,0,3,0,3,1
421,1998,62,-95,60,61,66,7,1,3,3
422,1998,61,21,47,0,0,2,0,0,2
423,1998,67,0,0,0,0,2,0,1,1
425,1998,67,0,0,0,0,2,0,4,1
426,1998,72,13,72,0,0,4,0,4,2
428,1998,75,18,75,15,71,4,0,0,3
429,1998,67,16,65,0,0,4,0,1,2
430,1998,63,12,60,0,0,4,0,1,2
498,1998,56,80,57,0,0,4,0,2,2
501,1998,54,0,0,0,0,3,0,2,1
502,1998,50,10,63,0,0,3,0,2,2
503,1998,63,0,0,0,0,8,6,2,1
504,1998,59,5,59,0,0,3,0,1,2
505,1998,56,0,0,0,0,2,0,2,1
506,1998,37,0,0,0,0,3,1,2,1
507,1998,44,0,0,0,0,2,0,2,1
509,1998,43,13,43,7,36,5,0,3,3
510,1998,33,0,0,0,0,4,0,3,1
511,1998,42,40,47,0,0,7,0,4,2
513,1998,30,41,37,0,0,3,0,3,2
514,1998,59,0,0,0,0,7,0,2,1
516,1998,63,0,0,0,0,4,0,4,1
517,1998,65,15,50,0,0,4,0,0,2
519,1998,53,10,51,0,0,7,0,5,2
520,1998,43,76,43,0,0,3,0,1,2
521,1998,37,0,0,0,0,4,0,1,1
522,1998,60,22,60,0,0,7,0,2,2
523,1998,59,0,0,0,0,3,0,3,1
524,1998,63,14,63,0,0,5,0,5,2
525,1998,20,18,50,0,0,9,0,3,2
526,1998,52,0,0,0,0,3,0,2,1
527,1998,44,17,42,0,0,5,0,1,2
528,1998,63,0,0,0,0,12,0,5,1
529,1998,68,52,58,0,0,4,0,3,2
530,1998,54,0,0,0,0,2,0,2,1
531,1998,60,0,0,0,0,4,0,2,1
532,1998,57,0,0,0,0,4,0,2,1
533,1998,63,0,0,0,0,4,0,2,1
534,1998,58,0,0,0,0,4,0,2,1
535,1998,50,23,42,0,0,3,1,2,2
536,1998,47,0,0,0,0,5,0,3,1
537,1998,58,17,53,0,0,6,0,2,2
538,1998,69,0,0,0,0,6,0,5,1
539,1998,61,0,0,0,0,2,0,1,1
540,1998,52,25,52,0,0,5,1,2,2
541,1998,36,0,0,0,0,5,0,4,1
542,1998,60,11,49,0,0,5,0,1,2
543,1998,77,31,77,0,0,4,0,3,2
544,1998,60,0,0,0,0,5,0,3,1
545,1998,50,0,0,0,0,3,0,3,1
546,1998,47,14,36,0,0,4,0,4,2
547,1998,54,0,0,0,0,6,0,3,1
548,1998,54,16,55,0,0,12,0,5,2
549,1998,42,69,44,0,0,9,0,3,2
550,1998,75,0,0,0,0,2,0,1,1
551,1998,54,0,0,0,0,4,0,3,1
552,1998,61,0,0,0,0,8,0,2,1
553,1998,35,0,0,0,0,5,0,3,1
554,1998,41,0,0,0,0,6,0,3,1
555,1998,63,0,0,0,0,3,0,2,1
556,1998,50,0,0,0,0,3,0,2,1
557,1998,51,17,51,0,0,5,0,1,2
558,1998,46,7,38,0,0,6,0,2,2
559,1998,69,19,69,0,0,4,0,1,2
560,1998,53,0,0,0,0,2,0,3,1
561,1998,38,19,37,21,37,4,0,2,3
562,1998,68,0,0,0,0,5,4,2,1
563,1998,53,0,0,0,0,7,0,3,1
564,1998,33,22,51,0,0,4,0,2,2
565,1998,54,0,0,0,0,4,0,2,1
566,1998,56,20,57,0,0,6,3,5,2
567,1998,55,8,51,0,0,5,0,4,2
568,1998,75,0,0,0,0,6,0,8,1
569,1998,63,12,75,0,0,5,0,3,2
570,1998,54,65,50,0,0,8,0,1,2
571,1998,57,5,57,0,0,2,0,2,2
572,1998,55,14,55,0,0,4,0,2,2
573,1998,59,81,38,0,0,6,0,2,2
576,1998,52,0,0,0,0,4,0,2,1
578,1998,65,0,0,0,0,3,1,1,1
581,1998,73,0,0,0,0,4,0,1,1
582,1998,70,0,0,0,0,6,0,2,1
583,1998,52,20,56,7,52,6,0,3,3
584,1998,55,0,0,0,0,6,0,2,1
585,1998,54,57,55,0,0,5,0,1,2
586,1998,57,0,0,0,0,2,0,2,1
587,1998,62,19,62,0,0,3,0,2,2
588,1998,51,0,0,0,0,6,0,3,1
589,1998,62,34,62,0,0,3,0,2,2
590,1998,58,0,0,0,0,6,0,4,1
591,1998,69,0,0,0,0,4,0,2,1
592,1998,46,0,0,0,0,16,0,2,1
593,1998,67,0,0,0,0,3,0,2,1
594,1998,65,0,0,0,0,5,0,1,1
595,1998,58,0,0,0,0,4,0,2,1
596,1998,67,0,0,0,0,4,0,2,1
597,1998,60,0,0,0,0,3,0,0,1
598,1998,62,19,58,0,0,4,0,2,2
599,1998,62,0,0,0,0,2,0,2,1
600,1998,57,0,0,0,0,5,1,2,1
601,1998,61,0,0,0,0,3,0,3,1
602,1998,60,0,0,0,0,3,0,-95,1
603,1998,75,16,71,0,0,5,0,2,2
605,1998,75,7,74,0,0,4,0,0,2
606,1998,71,0,0,0,0,2,0,2,1
607,1998,47,0,0,0,0,5,0,3,1
608,1998,55,5,55,5,40,12,0,3,4
609,1998,58,0,0,0,0,4,0,1,1
610,1998,67,17,67,0,0,5,0,4,2
611,1998,72,58,53,0,0,4,0,2,2
612,1998,67,0,0,0,0,3,0,3,1
613,1998,51,0,0,0,0,5,0,-95,1
615,1998,72,41,23,0,0,3,0,3,2
616,1998,60,0,0,0,0,3,0,1,1
617,1998,69,19,69,0,0,8,0,4,2
618,1998,95,-95,97,0,0,6,0,1,2
619,1998,67,0,0,0,0,2,0,2,1
620,1998,53,0,0,0,0,3,0,3,1
621,1998,53,9,55,8,51,4,0,1,3
622,1998,62,0,0,0,0,2,0,1,1
623,1998,69,0,0,0,0,2,0,1,1
625,1998,72,5,72,0,0,2,0,2,2
626,1998,67,-95,70,0,0,11,0,1,2
627,1998,75,19,75,0,0,4,0,1,2
628,1998,22,18,19,0,0,5,0,2,2
629,1998,75,170,75,0,0,7,0,3,2
630,1998,74,0,0,0,0,2,0,1,1
631,1998,60,29,60,40,57,5,0,2,3
632,1998,72,24,74,0,0,8,3,0,2
633,1998,73,-95,71,-95,71,4,0,0,3
635,1998,61,0,0,0,0,2,0,1,1
636,1998,69,8,70,0,0,3,0,0,2
637,1998,64,0,0,0,0,2,0,2,1
638,1998,44,0,0,0,0,3,0,1,1
639,1998,46,27,45,40,50,7,0,2,4
650,1998,75,0,0,0,0,3,0,1,1
651,1998,72,15,66,0,0,3,0,2,2
652,1998,63,24,44,0,0,4,0,4,2
653,1998,68,117,56,0,0,4,0,2,2
655,1998,70,27,70,0,0,2,0,2,2
656,1998,64,14,64,0,0,5,0,2,2
657,1998,51,33,56,0,0,7,0,4,2
658,1998,43,0,0,0,0,6,0,2,1
659,1998,68,0,0,0,0,3,0,2,1
660,1998,75,18,74,0,0,3,0,2,2
661,1998,65,0,0,0,0,3,0,2,1
662,1998,63,12,63,0,0,5,0,3,2
663,1998,69,0,0,0,0,4,0,2,1
665,1998,69,8,67,12,69,6,1,1,3
666,1998,52,4,53,0,0,5,0,3,2
667,1998,74,12,74,12,74,7,0,1,3
668,1998,75,42,76,0,0,3,0,1,2
669,1998,61,0,0,0,0,4,0,2,1
670,1998,72,0,0,0,0,4,0,2,1
671,1998,74,0,0,0,0,4,0,2,1
672,1998,60,0,0,0,0,3,1,2,1
673,1998,71,14,71,15,71,7,0,2,3
675,1998,72,0,0,0,0,7,0,3,1
676,1998,75,0,0,0,0,3,0,2,1
677,1998,70,-95,70,0,0,3,0,1,2
678,1998,67,0,0,0,0,12,0,2,1
679,1998,56,0,0,0,0,1,0,3,1
680,1998,38,0,0,0,0,3,0,6,1
681,1998,73,0,0,0,0,6,0,2,1
682,1998,38,135,41,0,0,3,0,2,2
683,1998,70,43,70,0,0,4,0,2,2
685,1998,54,68,50,0,0,6,0,6,2
686,1998,62,0,0,0,0,3,0,3,1
687,1998,75,21,75,0,0,2,0,3,2
688,1998,52,0,0,0,0,7,3,2,1
689,1998,56,11,56,0,0,3,0,2,2
690,1998,76,835,76,0,0,3,0,2,2
691,1998,57,28,57,22,53,4,0,2,3
692,1998,65,38,63,0,0,4,0,2,2
693,1998,65,27,55,0,0,4,0,4,2
695,1998,62,0,0,0,0,4,0,2,1
697,1998,68,44,68,0,0,8,0,3,2
698,1998,64,0,0,0,0,3,0,3,1
699,1998,56,75,59,0,0,3,0,2,2
700,1998,74,8,74,8,74,7,0,1,3
701,1998,51,0,0,0,0,7,0,3,1
702,1998,62,0,0,0,0,3,0,3,1
703,1998,51,27,51,0,0,3,0,2,2
705,1998,42,0,0,0,0,2,0,2,1
707,1998,57,49,60,0,0,4,0,1,2
708,1998,75,0,0,0,0,9,0,1,1
709,1998,76,0,0,0,0,7,0,3,1
710,1998,71,51,71,0,0,2,0,3,2
711,1998,57,0,0,0,0,6,0,1,1
712,1998,75,0,0,0,0,5,0,2,1
713,1998,58,26,58,0,0,7,0,4,2
715,1998,75,0,0,0,0,1,0,1,1
716,1998,42,26,44,29,45,4,0,2,3
717,1998,75,68,75,57,75,3,0,2,3
718,1998,56,67,56,0,0,8,0,3,2
719,1998,72,0,0,0,0,4,0,2,1
720,1998,59,88,57,0,0,5,0,3,2
721,1998,63,38,63,0,0,10,0,7,2
722,1998,37,67,42,0,0,3,0,3,2
723,1998,52,26,52,41,52,4,0,2,3
727,1998,58,0,0,0,0,4,0,1,1
728,1998,75,0,0,0,0,6,0,3,1
729,1998,77,37,74,0,0,3,0,2,2
730,1998,68,34,68,0,0,5,0,3,2
731,1998,54,0,0,0,0,5,0,3,1
732,1998,47,29,46,0,0,6,1,3,2
733,1998,60,0,0,0,0,5,0,1,1
735,1998,64,0,0,0,0,4,0,1,1
736,1998,54,0,0,0,0,3,0,2,1
737,1998,66,0,0,0,0,2,0,2,1
738,1998,70,0,0,0,0,3,0,1,1
739,1998,53,0,0,0,0,4,0,2,1
748,1998,65,22,64,0,0,5,0,1,2
750,1998,46,19,43,0,0,4,0,4,2
751,1998,64,0,0,0,0,2,0,2,1
752,1998,62,0,0,0,0,4,0,2,1
753,1998,65,0,0,0,0,4,0,1,1
755,1998,70,0,0,0,0,4,0,1,1
756,1998,60,0,0,0,0,3,0,2,1
757,1998,66,0,0,0,0,4,0,3,1
758,1998,57,41,57,0,0,14,0,3,2
759,1998,37,19,35,17,36,7,0,3,3
760,1998,75,22,70,0,0,2,0,2,2
761,1998,56,0,0,0,0,3,0,1,1
762,1998,65,0,0,0,0,2,0,1,1
763,1998,83,0,0,0,0,2,0,1,1
765,1998,61,12,55,0,0,3,0,1,2
766,1998,68,0,0,0,0,2,0,2,1
767,1998,72,0,0,0,0,4,0,1,1
768,1998,65,42,65,0,0,7,0,3,2
769,1998,57,43,57,0,0,2,0,1,2
776,1998,50,-95,-95,0,0,4,0,1,2
777,1998,60,18,60,0,0,3,0,2,2
778,1998,76,0,0,0,0,3,0,2,1
779,1998,56,35,50,0,0,7,0,5,2
780,1998,71,9,71,0,0,8,0,2,2
782,1998,83,0,0,0,0,2,0,2,1
783,1998,83,0,0,0,0,4,0,1,1
785,1998,75,36,76,0,0,2,0,1,2
786,1998,71,16,66,0,0,3,0,1,2
787,1998,49,30,48,0,0,5,0,2,2
788,1998,67,0,0,0,0,6,0,3,1
789,1998,72,0,0,0,0,2,0,2,1
790,1998,74,0,0,0,0,1,0,2,1
791,1998,60,10,58,0,0,37,0,3,2
792,1998,75,0,0,0,0,4,0,2,1
793,1998,47,11,47,0,0,6,1,5,2
795,1998,70,13,65,0,0,4,0,3,2
796,1998,56,50,68,57,65,5,0,3,3
797,1998,73,0,0,0,0,5,0,2,1
798,1998,75,127,75,23,75,6,0,3,3
799,1998,71,17,71,0,0,6,0,2,2
800,1998,72,0,0,0,0,2,0,2,1
801,1998,72,0,0,0,0,4,1,2,1
802,1998,72,0,0,0,0,7,1,3,1
803,1998,51,0,0,0,0,4,0,4,1
805,1998,59,13,53,0,0,5,0,3,2
806,1998,59,0,0,0,0,3,0,2,1
807,1998,75,0,0,0,0,3,0,1,1
809,1998,66,24,66,0,0,2,0,1,2
810,1998,62,0,0,0,0,4,0,2,1
811,1998,75,0,0,0,0,4,1,2,1
812,1998,56,0,0,0,0,2,0,2,1
813,1998,75,0,0,0,0,2,0,1,1
815,1998,60,0,0,0,0,3,0,3,1
816,1998,68,0,0,0,0,2,0,1,1
817,1998,82,0,0,0,0,2,0,2,1
818,1998,74,0,0,0,0,2,0,1,1
819,1998,72,43,72,0,0,3,0,2,2
820,1998,72,0,0,0,0,3,0,2,1
821,1998,65,0,0,0,0,2,0,3,1
822,1998,74,0,0,0,0,2,0,2,1
823,1998,68,15,69,0,0,3,0,2,2
825,1998,61,0,0,0,0,3,0,1,1
826,1998,66,0,0,0,0,3,1,2,1
827,1998,63,0,0,0,0,1,0,1,1
828,1998,81,0,0,0,0,5,0,1,1
829,1998,67,0,0,0,0,4,0,2,1
830,1998,78,0,0,0,0,2,0,1,1
831,1998,-95,0,0,0,0,3,1,1,1
832,1998,75,41,65,0,0,2,0,2,2
833,1998,-95,0,0,0,0,2,0,2,1
836,1998,67,0,0,0,0,9,1,2,1
837,1998,55,0,0,0,0,2,1,1,1
838,1998,61,32,61,0,0,4,0,3,2
839,1998,76,46,76,0,0,7,0,3,2
848,1998,70,17,70,0,0,2,0,2,2
850,1998,71,0,0,0,0,3,0,2,1
851,1998,65,0,0,0,0,3,1,3,1
852,1998,76,0,0,0,0,1,0,1,1
856,1998,79,0,0,0,0,5,0,2,1
858,1998,75,0,0,0,0,1,0,2,1
859,1998,68,0,0,0,0,3,0,2,1
860,1998,75,0,0,0,0,2,0,1,1
861,1998,-95,0,0,0,0,2,0,2,1
862,1998,57,0,0,0,0,1,0,1,1
863,1998,-95,10,74,0,0,5,0,1,2
866,1998,85,0,0,0,0,3,0,1,1
868,1998,57,23,57,0,0,4,0,3,2
876,1998,72,22,68,0,0,4,0,3,2
877,1998,53.48,11,53,13,53.46,7,2,5,4
878,1998,72,0,0,0,0,4,0,4,1
880,1998,69,0,0,0,0,5,0,1,1
881,1998,88,0,0,0,0,3,0,3,1
882,1998,75,0,0,0,0,6,0,1,1
883,1998,54,0,0,0,0,3,0,2,1
885,1998,33.63,-95,-95,-95,-95,6,3,4,1
886,1998,43,0,0,0,0,2,0,1,1
887,1998,75,0,0,0,0,1,0,1,1
888,1998,70,-95,66,0,0,7,0,5,2
889,1998,58,0,0,0,0,3,0,3,1
893,1998,74,0,0,0,0,1,0,2,1
895,1998,72,0,0,0,0,1,0,1,1
897,1998,48.51,-95,-95,-95,-95,5,0,4,1
898,1998,86,15,81,17,81,4,0,1,3
899,1998,75,22,72,0,0,4,0,1,2
900,1998,58.82,6,58,4,58.46,5,2,4,3
901,1998,34.61,-95,-95,-95,-95,4,1,4,1
902,1998,31.48,3,31,5,21.84,10,1,7,5
903,1998,44.57,3,46,2,46.24,10,0,5,7
905,1998,39.43,14,38,-95,-95,6,0,4,2
908,1998,63.6,108,64,4,63.65,9,5,3,4
917,1998,65.42,4,65,4,65.42,8,4,5,4
1696,1998,62,9,62,0,0,4,0,1,2
1896,1998,81,4,81,0,0,4,2,2,2
600001,1998,74,0,0,0,0,3,0,4,1
600002,1998,82,0,0,0,0,4,0,2,1
600007,1998,60.1,3,60,4,60.1,4,2,4,3
600009,1998,-95,19,67,0,0,4,0,1,2
600051,1998,74,0,0,0,0,6,1,3,1
600052,1998,53,40,55,0,0,6,0,3,2
600053,1998,57,0,0,0,0,2,0,2,1
600054,1998,55,0,0,0,0,3,0,2,1
600055,1998,70,0,0,0,0,2,0,4,1
600056,1998,77,6,76,17,76,4,0,2,3
600057,1998,63,53,64,0,0,3,0,2,2
600058,1998,75,25,75,0,0,3,0,6,2
600059,1998,65,0,0,0,0,4,0,3,1
600060,1998,75,0,0,0,0,4,0,2,1
600061,1998,73,15,73,0,0,6,0,2,2
600062,1998,68,23,68,0,0,4,0,4,2
600063,1998,64,22,64,0,0,2,0,2,2
600064,1998,55,-95,59,0,0,4,0,2,2
600066,1998,52,68,52,0,0,3,0,4,2
600067,1998,51,0,0,0,0,4,0,4,1
600068,1998,62,19,57,0,0,3,0,1,2
600069,1998,56,0,0,0,0,6,0,3,1
600070,1998,62,0,0,0,0,2,0,2,1
600071,1998,61,0,0,0,0,2,0,1,1
600072,1998,55,0,0,0,0,3,0,1,1
600073,1998,64,-95,63,-95,63,2,0,1,3
600074,1998,67,6,67,18,67,5,0,2,3
600075,1998,61,38,59,0,0,2,0,2,2
600076,1998,41,54,40,0,0,6,0,1,2
600077,1998,62,20,60,14,65,4,0,3,3
600078,1998,67,34,68,108,67,3,0,1,3
600079,1998,53,0,0,0,0,3,0,2,1
600080,1998,65,0,0,0,0,3,1,2,1
600081,1998,80,15,75,16,1,5,0,5,3
600082,1998,41,0,0,0,0,3,0,3,1
600083,1998,36,0,0,0,0,10,0,5,1
600084,1998,65,36,65,32,62,3,0,1,3
600085,1998,75,0,0,0,0,6,0,4,1
600086,1998,67,0,0,0,0,3,0,2,1
600087,1998,71,30,62,0,0,3,0,2,2
600088,1998,71,-95,71,0,0,4,0,3,2
600089,1998,64,26,57,0,0,4,0,1,2
600090,1998,50,17,58,0,0,2,0,2,2
600091,1998,63,20,71,0,0,1,0,2,2
600092,1998,54,63,53,0,0,7,0,3,2
600093,1998,60,23,60,0,0,4,0,1,2
600094,1998,44,22,22,0,0,4,1,2,2
600095,1998,46,0,0,0,0,6,0,3,1
600096,1998,83,0,0,0,0,6,0,1,1
600097,1998,70,10,68,0,0,3,0,1,2
600098,1998,85,45,85,0,0,4,0,2,2
600099,1998,62,0,0,0,0,2,0,1,1
600100,1998,63,38,62,43,62,3,0,1,3
600101,1998,55,0,0,0,0,3,0,1,1
600102,1998,85,87,85,0,0,4,0,2,2
600103,1998,47,42,45,0,0,6,0,6,2
600104,1998,72,51,70,0,0,7,0,1,2
600105,1998,74,30,76,12,73,4,0,2,3
600106,1998,71,0,0,0,0,4,0,3,1
600107,1998,73,0,0,0,0,3,0,2,1
600108,1998,53,5,53,11,53,5,0,2,3
600109,1998,60,17,57,0,0,5,0,5,2
600110,1998,65,0,0,0,0,5,0,1,1
600111,1998,69,19,70,0,0,6,1,2,2
600112,1998,75,0,0,0,0,4,0,1,1
600113,1998,66,0,0,0,0,2,0,2,1
600115,1998,91,-95,92,0,0,13,0,2,2
600116,1998,62,0,0,0,0,4,2,2,1
600117,1998,76,0,0,0,0,6,0,2,1
600118,1998,62,0,0,0,0,4,0,1,1
600119,1998,68,0,0,0,0,5,0,2,1
600120,1998,67,182,67,0,0,5,0,3,2
600121,1998,73,0,0,0,0,5,0,2,1
600122,1998,59,27,64,0,0,4,0,3,2
600123,1998,70,0,0,0,0,1,0,1,1
600125,1998,52,24,52,0,0,4,0,2,2
600126,1998,79,46,79,0,0,4,0,1,2
600127,1998,67,15,67,0,0,9,0,3,2
600128,1998,67,0,0,0,0,3,0,3,1
600129,1998,75,23,75,16,76,3,0,3,3
600131,1998,68,0,0,0,0,3,0,1,1
600132,1998,66,27,6,0,0,5,0,3,2
600133,1998,75,14,75,11,75,7,0,2,3
600135,1998,67,0,0,0,0,5,0,1,1
600136,1998,64,0,0,0,0,7,2,0,1
600137,1998,64,0,0,0,0,4,0,3,1
600138,1998,63,5,63,8,63,3,0,1,3
600139,1998,62,0,0,0,0,6,0,3,1
600148,1998,73,0,0,0,0,3,0,3,1
600150,1998,68,-95,68,0,0,3,0,2,2
600151,1998,75,0,0,0,0,6,0,2,1
600152,1998,-95,28,95,0,0,5,0,2,2
600153,1998,73,39,73,0,0,5,0,1,2
600155,1998,78,0,0,0,0,2,0,1,1
600156,1998,73,0,0,0,0,3,0,1,1
600157,1998,66,100,68,0,0,7,0,2,2
600158,1998,75,6,75,0,0,3,0,2,2
600159,1998,75,0,0,0,0,2,0,1,1
600160,1998,76,0,0,0,0,4,0,1,1
600161,1998,78,0,0,0,0,3,0,4,1
600162,1998,71,53,59,0,0,4,0,2,2
600163,1998,77,0,0,0,0,4,0,4,1
600165,1998,66,0,0,0,0,3,0,2,1
600166,1998,-95,-95,-95,91,71,3,1,2,3
600167,1998,47.83,12,48,10,48.34,20,18,4,4
600168,1998,75,11,75,0,0,3,0,1,2
600169,1998,66,0,0,0,0,3,1,1,1
600170,1998,72,0,0,0,0,4,0,2,1
600171,1998,64,0,0,0,0,2,0,1,1
600172,1998,71,0,0,0,0,1,0,1,1
600173,1998,40.66,-95,-95,-95,-95,4,2,4,1
600175,1998,63.25,137,65,2,63.25,15,8,6,3
600176,1998,65.46,5,65,5,43.73,14,6,5,5
600177,1998,-95,-95,-95,0,0,3,0,3,2
600178,1998,77,0,0,0,0,2,0,1,1
600179,1998,73,0,0,0,0,1,0,1,1
600180,1998,76,2,73,0,0,4,0,2,2
600181,1998,63,0,0,0,0,3,2,1,1
600183,1998,92,0,0,0,0,2,0,1,1
600186,1998,67,0,0,0,0,1,0,1,1
600187,1998,78,0,0,0,0,3,0,3,1
600188,1998,70,-95,96,0,0,2,0,0,2
600189,1998,70,0,0,0,0,2,0,2,1
600191,1998,72,0,0,0,0,1,0,1,1
600192,1998,71,0,0,0,0,1,0,1,1
600195,1998,41.08,218,46,5,38.23,8,3,4,4
600196,1998,70,0,0,0,0,5,0,5,1
600198,1998,68,0,0,0,0,2,0,2,1
600199,1998,66,26,66,0,0,3,0,3,2
600200,1998,34.2,5,34,-95,-95,8,6,4,2
600201,1998,25.82,5,23,6,23.35,8,2,4,4
600206,1998,71.65,2,71,2,71.43,8,-95,5,3
600209,1998,76.8,472,78,2,76.8,21,14,6,7
600218,1998,70,0,0,0,0,1,0,1,1
600228,1998,41.77,161,39,4,36.87,9,7,5,5
600266,1998,55.08,-95,-95,-95,-95,25,22,8,1
600359,1998,40.87,134,41,5,39.01,8,4,5,3
600600,1998,54,0,0,0,0,5,0,3,1
600601,1998,35,188,21,0,0,6,0,2,2
600602,1998,50,0,0,0,0,4,0,3,1
600603,1998,11,0,0,0,0,3,0,4,1
600604,1998,58,49,49,0,0,5,0,1,2
600605,1998,89,0,0,0,0,2,0,1,1
600606,1998,75,92,75,0,0,10,0,5,2
600607,1998,71,28,71,0,0,5,0,2,2
600608,1998,42,0,0,0,0,8,2,2,1
600609,1998,71,0,0,0,0,5,3,2,1
600610,1998,62,0,0,0,0,4,0,0,1
600611,1998,55,0,0,0,0,2,0,2,1
600612,1998,51,191,49,0,0,2,0,2,2
600613,1998,65,197,65,0,0,3,0,2,2
600614,1998,71,7,52,0,0,6,0,3,2
600615,1998,72,40,67,0,0,7,0,2,2
600616,1998,66,0,0,0,0,6,0,2,1
600617,1998,70,19,68,0,0,3,0,-95,2
600618,1998,59,0,0,0,0,4,0,2,1
600619,1998,51,63,54,0,0,7,0,4,2
600620,1998,55,151,51,100,55,5,2,4,3
600621,1998,59,0,0,0,0,8,0,2,1
600622,1998,64,562,58,0,0,6,0,5,2
600623,1998,70,0,0,0,0,3,0,2,1
600624,1998,39,0,0,0,0,5,0,3,1
600625,1998,48,21,40,19,41,3,0,2,3
600626,1998,77,0,0,0,0,5,0,3,1
600627,1998,85,0,0,0,0,6,0,1,1
600628,1998,63,229,59,0,0,5,0,5,2
600629,1998,59,88,54,81,55,5,0,5,3
600630,1998,80,0,0,0,0,7,0,3,1
600631,1998,62,0,0,0,0,7,0,1,1
600632,1998,49,387,55,0,0,5,0,2,2
600634,1998,55,0,0,0,0,4,0,1,1
600635,1998,47,0,0,0,0,2,0,2,1
600636,1998,52,135,52,0,0,6,0,3,2
600637,1998,83,0,0,0,0,2,0,3,1
600638,1998,51,0,0,0,0,4,0,2,1
600639,1998,54,0,0,0,0,3,0,2,1
600640,1998,69,28,71,0,0,2,0,3,2
600641,1998,74,0,0,0,0,2,0,1,1
600642,1998,83,0,0,0,0,3,0,1,1
600643,1998,61,271,41,0,0,3,0,3,2
