股票代码,年度,金额最高的前三名董事的报酬总额,金额最高的前三名高级管理人员的报酬总额,独立董事津贴,审计委员会,薪酬与考核委员会,战略委员会,提名委员会,董事会的规模,监事会的规模,年度股东大会的参会股东人数,独立董事总人数
514,1998,-95,-95,-95,0,0,0,0,7,3,-95,0
516,1998,-95,-95,-95,0,0,0,0,9,5,21,0
517,1998,-95,-95,-95,0,0,0,0,8,5,13,0
519,1998,-95,-95,-95,0,0,0,0,9,5,16,0
520,1998,-95,-95,-95,0,0,0,0,16,10,94,0
521,1998,-95,-95,-95,0,0,0,0,7,3,20,0
522,1998,-95,-95,-95,0,0,0,0,12,8,23,0
523,1998,-95,-95,-95,0,0,0,0,9,7,11,0
524,1998,-95,-95,-95,0,0,0,0,9,3,22,0
525,1998,-95,-95,-95,0,0,0,0,5,3,33,0
526,1998,-95,-95,-95,0,0,0,0,7,5,10,0
527,1998,-95,-95,-95,0,0,0,0,7,3,54,0
528,1998,-95,-95,-95,0,0,0,0,7,3,9,0
529,1998,171000,171000,-95,0,0,0,0,9,3,72,0
530,1998,-95,-95,-95,0,0,0,0,17,3,81,0
531,1998,-95,-95,-95,0,0,0,0,13,5,13,0
532,1998,-95,-95,-95,0,0,0,0,13,7,33,0
533,1998,-95,-95,-95,0,0,0,0,5,5,26,0
534,1998,-95,-95,-95,0,0,0,0,11,7,90,0
535,1998,-95,-95,-95,0,0,0,0,13,4,29,0
536,1998,-95,-95,-95,0,0,0,0,10,5,24,0
537,1998,-95,-95,-95,0,0,0,0,9,5,40,0
538,1998,-95,-95,-95,0,0,0,0,7,3,40,0
539,1998,-95,-95,-95,0,0,0,0,9,6,35,0
540,1998,-95,-95,-95,0,0,0,0,11,3,24,0
541,1998,-95,-95,-95,0,0,0,0,11,5,47,0
542,1998,-95,-95,-95,0,0,0,0,9,5,16,0
543,1998,-95,-95,-95,0,0,0,0,9,3,36,0
544,1998,-95,-95,-95,0,0,0,0,9,4,26,0
545,1998,-95,-95,-95,0,0,0,0,9,5,36,0
546,1998,-95,-95,-95,0,0,0,0,13,3,13,0
547,1998,-95,-95,-95,0,0,0,0,9,5,73,0
548,1998,-95,-95,-95,0,0,0,0,7,3,24,0
549,1998,-95,-95,-95,0,0,0,0,7,5,30,0
550,1998,-95,-95,-95,0,0,0,0,11,5,46,0
551,1998,-95,-95,-95,0,0,0,0,15,3,10,0
552,1998,-95,-95,-95,0,0,0,0,13,5,22,0
553,1998,-95,-95,-95,0,0,0,0,7,5,80,0
554,1998,-95,-95,-95,0,0,0,0,8,3,67,0
555,1998,-95,-95,-95,0,0,0,0,13,3,21,0
556,1998,-95,-95,-95,0,0,0,0,12,5,56,0
557,1998,-95,-95,-95,0,0,0,0,17,5,32,0
558,1998,-95,-95,-95,0,0,0,0,5,3,32,0
559,1998,-95,-95,-95,0,0,0,0,11,3,13,0
