股票代码,年度,CR_5指数,CR_10指数,Z指数,Herfindahl_5指数,Herfindahl_10指数
506,1998,0.399538,0.42036,6.595242841,0.092067561,0.092155869
507,1998,0.374692,0.387343,2.448041674,0.061403884,0.061439739
509,1998,0.396612,0.411654,2.253639822,0.055422948,0.0554689
510,1998,0.329042,0.351036,1.094667805,0.034897002,0.034996621
511,1998,0.413561,0.435437,1.099244006,0.065662046,0.065758476
513,1998,0.308287,0.322386,2.059851626,0.024780591,0.024827243
514,1998,0.63788,0.717899,8.601454043,0.278370745,0.279679997
516,1998,0.52044,0.557077,1.355484723,0.088475278,0.088760009
517,1998,0.643004,0.668881,1.887715545,0.138672955,0.138820074
519,1998,0.526083,0.537238,1.564213354,0.119310788,0.119336875
520,1998,0.433966,0.457995,37.90348101,0.166084984,0.166200852
521,1998,0.386957,0.399802,9.185454322,0.091110324,0.091145747
522,1998,0.600318,0.629052,-97,0.169520036,0.16971583
523,1998,0.594599,0.604161,280.367745,0.34732155,0.347340118
524,1998,0.647606,0.660897,2.590958862,0.239700785,0.239736582
525,1998,0.548125,0.561907,1.497627298,0.130498274,0.130536503
526,1998,0.515673,0.573186,3.794943673,0.099091247,0.09980641
527,1998,0.420269,0.468535,3.718384897,0.095255568,0.095832011
528,1998,0.644512,0.715357,133.236356,0.402925361,0.403945413
529,1998,0.38996,0.447877,9.924998458,0.105061137,0.105738231
530,1998,0.433477,0.438894,2.98337,0.099460745,0.099466833
531,1998,0.599255,0.617405,2.417415092,0.177790934,0.177857514
532,1998,0.436409,0.47204,7.10750455,0.113542654,0.113845889
533,1998,0.610971,0.63406,1.080700787,0.165304179,0.165416629
534,1998,0.569381,0.595047,5.500014343,0.157034144,0.157166969
535,1998,0.461544,0.483905,9.285721994,0.122101067,0.122205377
536,1998,0.436572,0.444907,13.02671687,0.133418896,0.133433052
537,1998,0.556909,0.577298,23.44541023,0.26058905,0.260673386
538,1998,0.663555,0.722292,5,0.235221229,0.235916879
539,1998,0.603314,0.643247,15.20013501,0.270259013,0.27058731
540,1998,0.639793,0.670687,3.357548692,0.219037591,0.219241932
541,1998,0.388218,0.414485,4.212693784,0.085245141,0.085383677
542,1998,0.531057,0.557274,1.807324726,0.089047849,0.089190929
543,1998,0.731285,0.757502,16.89529497,0.370580849,0.370723929
544,1998,0.607805,0.61945,178.4697786,0.355780617,0.355808067
545,1998,0.49865,0.504303,1.548288751,0.081986995,0.081993494
546,1998,0.396186,0.411501,1.530003981,0.033685753,0.033732897
547,1998,0.537146,0.559857,3.035218767,0.176516881,0.176620804
548,1998,0.580965,0.611497,5.339165118,0.213911119,0.21410275
549,1998,0.433931,0.449489,1.548948374,0.093689996,0.093738945
550,1998,0.806907,0.856992,1.367599156,0.261652081,0.262163111
551,1998,0.545225,0.579762,5.116624467,0.198010017,0.198252762
552,1998,0.605715,0.630403,2.741933784,0.197073031,0.197199049
553,1998,0.318456,0.323231,18.83702943,0.076227294,0.07623193
554,1998,0.419376,0.430675,16.70686825,0.15015216,0.150179028
555,1998,0.598217,0.618201,7.346929484,0.197254754,0.197335549
556,1998,0.343803,0.374848,8.997809752,0.072946775,0.073141554
557,1998,-97,-97,-97,-97,-97
558,1998,0.444757,0.458602,3.448681898,0.095362351,0.09540356
559,1998,0.701695,0.710637,20.73142876,0.411865354,0.411882425
560,1998,0.443452,0.457232,2.90339514,0.069567145,0.069606078
561,1998,0.366906,0.428825,6.358266882,0.092241195,0.093041248
562,1998,0.630908,0.642827,7.441697856,0.201326327,0.201355088
563,1998,0.566828,0.583596,14.19834759,0.240196598,0.240254189
564,1998,0.331568,0.344874,5.819592893,0.068292209,0.068327724
565,1998,0.552354,0.568506,114.4774909,0.287955739,0.288008587
