股票代码,年度,股票简称,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地,证券交易所,中小企业板标示,交易状态
'000007,2005,深达声A,深圳市赛格达声股份有限公司,"ShenZhen HongDa Investment Co., Ltd.",J01,253010,深圳市华强北路现代之窗大厦二十三楼,SZ,0,0
'000007,2006,深达声A,深圳市赛格达声股份有限公司,NA,J01,253010,NA,SZ,0,0
'000007,2007,ST达声,深圳市赛格达声股份有限公司,"SHENZHEN SEG. DASHENG CO., LTD",J01,253010,NA,SZ,0,1
'000007,2008,ST达声,深圳市赛格达声股份有限公司,"SHENZHEN SEG. DASHENG CO., LTD",J01,253010,NA,SZ,0,1
'000007,2009,ST零七,深圳市零七股份有限公司,NA,J01,253010,NA,SZ,0,1
'000007,2010,ST零七,深圳市零七股份有限公司,NA,K32,253010,NA,SZ,0,1
'000008,2004,ST亿安,广东亿安科技股份有限公司,"BAOLILAI INVESTMENT CO.,LTD,GUANGDONG",G87,201070,深圳市南山区内环路5号锦兴工业小区管理楼二楼,SZ,0,1
'000008,2005,G宝利来,广东宝利来投资股份有限公司,"GUANGDONG YORKPOINT SCIENCE &TECHNOLOGY CO.,LTD.",G87,201070,深圳市南山区内环路5号锦兴工业小区管理楼二楼,SZ,0,0
'000008,2006,*ST宝投,广东宝利来投资股份有限公司,NA,G87,201070,NA,SZ,0,1
'000008,2007,*ST宝投,广东宝利来投资股份有限公司,"BAOLILAI INVESTMENT CO.,LTD,GUANGDONG",G87,201070,NA,SZ,0,1
'000008,2009,ST宝利来,广东宝利来投资股份有限公司,NA,G87,201070,NA,SZ,0,1
'000008,2011,ST宝利来,广东宝利来投资股份有限公司,NA,H01,201070,NA,SZ,0,1
'000009,2002,深宝安A,中国宝安集团股份有限公司,CHINA BAOAN GROUP CO,M,201050,深圳市笋岗东路1002 号宝安广场A 座28-29 层,SZ,0,0
'000009,2003,深宝安A,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO.,LTD.",M,201050,深圳市笋岗东路1002 号宝安广场A 座28-29 层,SZ,0,0
'000009,2004,深宝安A,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO.,LTD.",M,201050,深圳市笋岗东路1002 号宝安广场A 座28-29 层,SZ,0,0
'000009,2005,深宝安A,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO.,LTD.",M,201050,深圳市笋岗东路1002 号宝安广场A 座28-29 层,SZ,0,0
'000009,2006,S深宝安A,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO.,LTD.",M,201050,NA,SZ,0,0
'000009,2007,S深宝安A,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO.,LTD.",M,201050,NA,SZ,0,0
'000009,2008,中国宝安,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO.,LTD.",M,201050,NA,SZ,0,0
'000009,2009,中国宝安,中国宝安集团股份有限公司,NA,M,201050,NA,SZ,0,0
'000009,2011,中国宝安,中国宝安集团股份有限公司,NA,M,201050,NA,SZ,0,0
'000010,2004,深华新A,深圳华新股份有限公司,"SHENZHEN HUAXIN CO.,LTD.",H21,201060,广东省深圳市福田区深南中路1019 号万德大厦19 楼,SZ,0,0
'000010,2006,S*ST华新,深圳华新股份有限公司,NA,H21,201060,NA,SZ,0,1
'000010,2007,SST华新,深圳华新股份有限公司,"SHENZHEN HUAXIN CO.,LTD.",H21,201060,NA,SZ,0,1
'000011,2002,ST深物业,深圳市物业(发展)集团股份有限公司,SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP) LTD.,M,404030,"广东省深圳市人民南路国贸大厦39,42层",SZ,0,1
'000011,2003,ST深物业,深圳市物业(发展)集团股份有限公司,SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP) LTD.,M,404030,"广东省深圳市人民南路国贸大厦39,42层",SZ,0,1
'000011,2004,ST深物业,深圳市物业(发展)集团股份有限公司,SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP) LTD.,M,404030,"广东省深圳市人民南路国贸大厦39,42层",SZ,0,1
'000011,2005,深物业A,深圳市物业发展(集团)股份有限公司,SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP) LTD.,M,404030,"广东省深圳市人民南路国贸大厦39,42层",SZ,0,0
'000011,2006,S深物业A,深圳市物业发展(集团)股份有限公司,SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP) LTD.,M,404030,NA,SZ,0,0
'000011,2007,S*ST物业,深圳市物业发展(集团)股份有限公司,SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP) LTD.,M,404030,NA,SZ,0,1
'000011,2008,S*ST物业,深圳市物业发展(集团)股份有限公司,SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP) LTD.,M,404030,NA,SZ,0,1
'000011,2009,深物业A,深圳市物业发展(集团)股份有限公司,NA,M,404030,NA,SZ,0,0
'000011,2010,深物业A,深圳市物业发展(集团)股份有限公司,NA,J01,404030,NA,SZ,0,0
'000012,2004,南玻A,中国南玻科技控股（集团）股份有限公司,"CSG Holding Co.,Ltd.",C61,151020,中国深圳蛇口工业六路一号南玻大厦,SZ,0,0
'000012,2006,南玻A,中国南玻科技控股（集团）股份有限公司,"CSG Holding Co.,Ltd.",C61,151020,NA,SZ,0,0
'000012,2007,南玻A,中国南玻科技控股（集团）股份有限公司,"CSG Holding Co.,Ltd.",C61,151020,NA,SZ,0,0
'000012,2009,南玻A,中国南玻科技控股（集团）股份有限公司,NA,C61,151020,NA,SZ,0,0
'000012,2011,南玻A,中国南玻科技控股（集团）股份有限公司,NA,C61,151020,NA,SZ,0,0
'000014,2003,沙河股份,沙河集团股份有限公司,"SHAHE INDUSTRY CO.,LTD.",J01,404030,中国深圳市南山区沙河商城七楼,SZ,0,0
'000014,2004,沙河股份,沙河集团股份有限公司,"SHAHE INDUSTRY CO.,LTD.",J01,404030,中国深圳市南山区沙河商城七楼,SZ,0,0
'000014,2005,G沙河,沙河集团股份有限公司,"SHAHE INDUSTRY CO.,LTD.",J01,404030,中国深圳市南山区沙河商城七楼,SZ,0,0
'000014,2006,沙河股份,沙河集团股份有限公司,"SHAHE INDUSTRY CO.,LTD.",J01,404030,NA,SZ,0,0
'000014,2007,沙河股份,沙河集团股份有限公司,"SHAHE INDUSTRY CO.,LTD.",J01,404030,NA,SZ,0,0
'000014,2008,沙河股份,沙河集团股份有限公司,"SHAHE INDUSTRY CO.,LTD.",J01,404030,NA,SZ,0,0
